species,decimalLongitude,decimalLatitude
Taxus contorta,76.61666667,32.33333333
Taxus contorta,76.93166667,31.70694444
Taxus contorta,77.03333333,32.18333333
Taxus contorta,77.08948333,32.00478056
Taxus contorta,77.16666667,32.26666667
Taxus contorta,77.17222222,31.10333333
Taxus contorta,77.23657222,31.59689444
Taxus contorta,77.33333333,31.55
Taxus contorta,77.45,31.25
Taxus contorta,77.63333333,31.13333333
Taxus contorta,77.98333333,31.5
Taxus contorta,78.15012778,31.11760278
Taxus contorta,78.49115,30.79785556
Taxus contorta,79.11354167,30.67558889
Taxus contorta,79.3816,30.4526
Taxus contorta,79.62020556,30.56425278
Taxus contorta,79.85439,29.637547
Taxus contorta,79.91993889,30.13845556
Taxus contorta,80.36078056,29.90333889
Taxus contorta,80.77361111,29.79861111
Taxus contorta,81.0785,29.3577
Taxus contorta,81.08944444,29.62694444
Taxus contorta,81.81666667,29.56111111
Taxus contorta,82.11472222,29.64944444
Taxus contorta,82.23294444,29.25669444
Taxus contorta,82.87638889,28.97305556
Taxus contorta,83.0436,28.4609
Taxus contorta,83.59511111,28.65836111
Taxus contorta,84.24236111,28.55152778
Taxus contorta,84.30319444,28.52419444
Taxus contorta,84.38405556,28.54797222
Taxus contorta,84.43833333,28.5975
Taxus contorta,84.73,28.56055556
Taxus contorta,85.35607,28.37488
Taxus contorta,85.683067,27.948786
Taxus contorta,84.438333,28.5975
Taxus contorta,82.833333,28.833333
Taxus contorta,78.133333,31.366667
Taxus contorta,82.833333,28.833333
Taxus contorta,82.114722,29.649444
Taxus contorta,78.17555,31.01925
Taxus contorta,78.07186,30.45426
Taxus contorta,79.02805,30.65333
Taxus contorta,75.41568,34.25955
Taxus contorta,78.39667,31.01444
Taxus contorta,77.811971,30.601274
Taxus contorta,80.384786,30.17166
Taxus contorta,80.564863,29.6525
Taxus contorta,84.221806,28.567084
Taxus contorta,82.328,29.036
Taxus contorta,75.23,34.2954
Taxus contorta,84.21544,28.564446
Taxus contorta,83.6835,28.72
Taxus contorta,82.036,29.386
Taxus contorta,71.86,35.271
Taxus contorta,85.007,28.4766
Taxus contorta,82.334,29.047
Taxus contorta,77.3605,31.9961
Taxus contorta,71.43,35.1
Taxus contorta,70.75,35.5
Taxus contorta,77.15,31.12
Taxus contorta,79.02,30.65
Taxus contorta,73.57,33.92
Taxus contorta,80.02,30.18
Taxus contorta,77.85,30.7
Taxus contorta,75.42,34
Taxus contorta,76.32,32.22
Taxus contorta,77.95,30.82
Taxus contorta,83.2,28.1
Taxus contorta,73.88,32.83
Taxus contorta,73.23,35.1
Taxus contorta,77.95,30.82
Taxus contorta,73.4,33.9
Taxus contorta,77.81197056,30.60127368
Taxus contorta,80.38478611,30.17166018
Taxus contorta,80.56486321,29.65250037
Taxus contorta,86.31141501,28.0390626
Taxus contorta,86.25190546,28.01169507
Trillium govanianum,72.58,35.33
Trillium govanianum,71.78,35.85
Trillium govanianum,77.22,32.42
Trillium govanianum,74.82,34.08
Trillium govanianum,73.53,34.78
Trillium govanianum,71,35.25
Trillium govanianum,94.88,29.92
Trillium govanianum,94.88,29.93
Trillium govanianum,94.88,29.93
Trillium govanianum,77.23,32.35
Trillium govanianum,82.130833,29.468333
Trillium govanianum,80.036255,29.631721
Trillium govanianum,80.144984,29.679378
Trillium govanianum,84.327954,28.21996
Trillium govanianum,73.221,34.439
Trillium govanianum,73.844648,30.658134
Trillium govanianum,-95.71,37.09
Trillium govanianum,-95.71,37.09
Trillium govanianum,-95.71,37.09
Trillium govanianum,76.13,33.22
Trillium govanianum,75.44,32.52
Trillium govanianum,76.12,32.49
Trillium govanianum,75.12,33.51
Trillium govanianum,84.264619,28.352487
Trillium govanianum,84.361157,28.403626
Trillium govanianum,84.680324,28.573925
Trillium govanianum,84.235608,28.228787
Trillium govanianum,84.244049,28.35844
Trillium govanianum,90.035234,27.443562
Trillium govanianum,74.31,33.55
Trillium govanianum,77.578815,31.675425
Trillium govanianum,10.671,63.434
Trillium govanianum,85.29713,28.117652
Trillium govanianum,84.239332,28.509609
Trillium govanianum,84.957237,28.473226
Trillium govanianum,87.134448,27.674802
Trillium govanianum,87.117736,27.682329
